date,gpu_temp,fan_speed,pwm_value,gpu_power
2024-04-08-14:53:56,71,11065,175,243.09
2024-04-08-14:53:58,71,11344,175,247.86
2024-04-08-14:54:00,71,11065,175,246.34
2024-04-08-14:54:02,71,11250,175,248.13
2024-04-08-14:54:04,71,11250,175,239.44
2024-04-08-14:54:07,71,11065,175,242.76
2024-04-08-14:54:09,72,11344,200,242.95
2024-04-08-14:54:11,72,12500,255,248.71
2024-04-08-14:54:13,71,15000,255,247.77
2024-04-08-14:54:15,71,15000,255,247.97
2024-04-08-14:54:17,71,14673,255,240.52
2024-04-08-14:54:19,71,14516,255,229.28
2024-04-08-14:54:21,71,14673,255,242.61
2024-04-08-14:54:23,70,14361,255,247.2
2024-04-08-14:54:25,70,14361,255,246.34
2024-04-08-14:54:27,70,14673,255,242.22
2024-04-08-14:54:29,70,15000,255,246.15
2024-04-08-14:54:32,70,14516,255,237.83
2024-04-08-14:54:34,69,14673,255,247.97
2024-04-08-14:54:36,69,14361,255,247.1
2024-04-08-14:54:38,69,14361,255,246.91
2024-04-08-14:54:40,69,14835,255,246.52
2024-04-08-14:54:42,69,14835,255,252.94
2024-04-08-14:54:44,69,14516,255,247.38
2024-04-08-14:54:46,69,14516,255,251.12
2024-04-08-14:54:48,68,14835,255,246.43
2024-04-08-14:54:50,68,14835,255,238.21
2024-04-08-14:54:52,68,14673,255,239.94
2024-04-08-14:54:54,68,14835,255,246.52
2024-04-08-14:54:56,67,14835,255,234.4
2024-04-08-14:54:58,68,14673,255,246.7
2024-04-08-14:55:01,68,14516,255,245.27
2024-04-08-14:55:03,68,14835,255,239.54
2024-04-08-14:55:05,68,14835,255,239.82
2024-04-08-14:55:07,67,14361,255,234.55
2024-04-08-14:55:09,67,14516,255,233.78
2024-04-08-14:55:11,67,14835,255,245.66
2024-04-08-14:55:13,67,14673,255,237.02
2024-04-08-14:55:15,67,14835,255,239.82
2024-04-08-14:55:17,67,14516,255,245.91
2024-04-08-14:55:19,67,14516,255,250.34
2024-04-08-14:55:21,67,14835,255,245.66
2024-04-08-14:55:23,67,14210,255,234.17
2024-04-08-14:55:26,67,14516,255,235.61
2024-04-08-14:55:28,67,14361,255,246.04
2024-04-08-14:55:30,67,14673,255,244.89
2024-04-08-14:55:32,67,14835,255,239.14
2024-04-08-14:55:34,67,14673,255,244.7
2024-04-08-14:55:36,67,15000,255,232.55
2024-04-08-14:55:38,67,14673,255,241.17
2024-04-08-14:55:40,67,14516,255,238.95
2024-04-08-14:55:42,67,14516,255,245.09
2024-04-08-14:55:44,67,14516,255,245.72
2024-04-08-14:55:46,67,14516,255,245.75
2024-04-08-14:55:48,67,14361,255,245.66
2024-04-08-14:55:51,67,14516,255,245.46
2024-04-08-14:55:53,67,14673,255,240.77
2024-04-08-14:55:55,67,14516,255,243.17
2024-04-08-14:55:57,66,14516,255,235.9
2024-04-08-14:55:59,67,14673,255,229.57
2024-04-08-14:56:01,67,14361,255,251.78
2024-04-08-14:56:03,67,14835,255,245.76
2024-04-08-14:56:05,67,14361,255,239.43
2024-04-08-14:56:07,67,14210,255,249.28
2024-04-08-14:56:09,67,14835,255,232.82
2024-04-08-14:56:11,67,14673,255,233.22
2024-04-08-14:56:13,67,14516,255,238.48
2024-04-08-14:56:16,67,14516,255,229.37
2024-04-08-14:56:18,67,14673,255,239.24
2024-04-08-14:56:20,67,14516,255,245.56
2024-04-08-14:56:22,67,14516,255,245.76
2024-04-08-14:56:24,67,14673,255,243.45
2024-04-08-14:56:26,67,14673,255,229.69
2024-04-08-14:56:28,66,14835,255,241.06
2024-04-08-14:56:30,67,14361,255,244.12
2024-04-08-14:56:32,66,14516,255,241.82
2024-04-08-14:56:34,67,14673,255,240.18
2024-04-08-14:56:36,67,14516,255,239.45
2024-04-08-14:56:38,66,14361,255,235.72
2024-04-08-14:56:41,67,14673,255,234.09
2024-04-08-14:56:43,67,14516,255,240.46
2024-04-08-14:56:45,66,14673,255,238.4
2024-04-08-14:56:47,66,14516,255,240.09
2024-04-08-14:56:49,66,14516,255,245.85
2024-04-08-14:56:51,66,14361,255,244.4
2024-04-08-14:56:53,66,14516,255,242.69
2024-04-08-14:56:55,66,14673,255,245.66
2024-04-08-14:56:57,66,14516,255,173.45
2024-04-08-14:56:59,66,14835,255,245.37
2024-04-08-14:57:01,66,14673,255,241.82
2024-04-08-14:57:03,66,14673,255,235.8
2024-04-08-14:57:06,66,14516,255,240.19
2024-04-08-14:57:08,66,14361,255,233.21
2024-04-08-14:57:10,67,14516,255,247.59
2024-04-08-14:57:12,67,14516,255,237.62
2024-04-08-14:57:14,67,14673,255,241.05
2024-04-08-14:57:16,67,14361,255,241.55
2024-04-08-14:57:18,66,14516,255,249.19
2024-04-08-14:57:20,67,14361,255,247.07
2024-04-08-14:57:22,67,14361,255,249.29
2024-04-08-14:57:24,67,14673,255,238.46
2024-04-08-14:57:26,67,14673,255,242.1
2024-04-08-14:57:28,67,14835,255,244.33
2024-04-08-14:57:30,67,14516,255,248.23
2024-04-08-14:57:32,67,14516,255,249.26
2024-04-08-14:57:35,67,14673,255,249.7
2024-04-08-14:57:37,67,14361,255,249.76
2024-04-08-14:57:39,67,14673,255,249.76
2024-04-08-14:57:41,67,14673,255,249.41
2024-04-08-14:57:43,67,14516,255,250.03
2024-04-08-14:57:45,67,14835,255,245.85
2024-04-08-14:57:47,67,14361,255,249.55
2024-04-08-14:57:49,67,14516,255,250.05
2024-04-08-14:57:51,67,14516,255,238.56
2024-04-08-14:57:53,67,14516,255,250.24
2024-04-08-14:57:55,67,14673,255,226.79
2024-04-08-14:57:57,67,14361,255,239.93
2024-04-08-14:58:00,67,14673,255,242.39
2024-04-08-14:58:02,67,14673,255,249.17
2024-04-08-14:58:04,67,15000,255,239.99
2024-04-08-14:58:06,67,14361,255,250.43
2024-04-08-14:58:08,67,14516,255,241.07
2024-04-08-14:58:10,67,14835,255,248.77
2024-04-08-14:58:12,67,14673,255,240.1
2024-04-08-14:58:14,67,14835,255,239.92
2024-04-08-14:58:16,67,14516,255,248.9
2024-04-08-14:58:18,67,14835,255,246.02
2024-04-08-14:58:20,67,14361,255,248.59
2024-04-08-14:58:22,67,14361,255,249.36
2024-04-08-14:58:25,67,14361,255,240.37
2024-04-08-14:58:27,67,14516,255,237.11
2024-04-08-14:58:29,67,14361,255,246.98
2024-04-08-14:58:31,67,14673,255,238.94
2024-04-08-14:58:33,67,14673,255,232.91
2024-04-08-14:58:35,67,14516,255,240.87
2024-04-08-14:58:37,67,14516,255,153.55
2024-04-08-14:58:39,67,14516,255,242.02
2024-04-08-14:58:41,67,14516,255,247.46
2024-04-08-14:58:43,67,14673,255,234.94
2024-04-08-14:58:45,67,14361,255,244.7
2024-04-08-14:58:47,67,15000,255,247.38
2024-04-08-14:58:50,67,14361,255,237.51
2024-04-08-14:58:52,67,14835,255,244.22
2024-04-08-14:58:54,67,14516,255,248.32
2024-04-08-14:58:56,67,14361,255,241.93
2024-04-08-14:58:58,67,14673,255,249.57
2024-04-08-14:59:00,67,14673,255,247.1
2024-04-08-14:59:02,67,14361,255,249.09
2024-04-08-14:59:04,67,14516,255,240.21
2024-04-08-14:59:06,67,14516,255,246.43
2024-04-08-14:59:08,67,14516,255,247.67
2024-04-08-14:59:10,67,14835,255,248.71
2024-04-08-14:59:12,67,14673,255,249.17
2024-04-08-14:59:15,67,14516,255,244.04
2024-04-08-14:59:17,67,14361,255,238.3
2024-04-08-14:59:19,67,14516,255,238.77
2024-04-08-14:59:21,67,15000,255,241.64
2024-04-08-14:59:23,67,14516,255,246.06
2024-04-08-14:59:25,67,14516,255,228.04
2024-04-08-14:59:27,67,14210,255,155.96
2024-04-08-14:59:29,67,14361,255,240.49
2024-04-08-14:59:31,67,14361,255,244.72
2024-04-08-14:59:33,67,14516,255,238.5
2024-04-08-14:59:35,67,14516,255,241.64
2024-04-08-14:59:37,67,14361,255,237.35
2024-04-08-14:59:40,67,14516,255,243.64
2024-04-08-14:59:42,67,14673,255,238.41
2024-04-08-14:59:44,67,14835,255,238.59
2024-04-08-14:59:46,67,14516,255,249.57
2024-04-08-14:59:48,67,15000,255,237.88
2024-04-08-14:59:50,67,14361,255,250.03
2024-04-08-14:59:52,67,14361,255,250.24
2024-04-08-14:59:54,67,14673,255,249.97
2024-04-08-14:59:56,67,14516,255,250.15
2024-04-08-14:59:58,67,14835,255,239.12
2024-04-08-15:00:00,67,14361,255,249.45
2024-04-08-15:00:02,67,14835,255,249.86
2024-04-08-15:00:05,67,14361,255,249.66
2024-04-08-15:00:07,67,14361,255,250.03
2024-04-08-15:00:09,67,14835,255,239.43
2024-04-08-15:00:11,67,14516,255,249.74
2024-04-08-15:00:13,67,14361,255,249.94
2024-04-08-15:00:15,67,14516,255,238.84
2024-04-08-15:00:17,67,14361,255,246.88
2024-04-08-15:00:19,67,15000,255,249.07
2024-04-08-15:00:21,67,14835,255,249.57
2024-04-08-15:00:23,67,14361,255,249.95
2024-04-08-15:00:25,67,14673,255,238.2
2024-04-08-15:00:27,67,14516,255,239.03
2024-04-08-15:00:29,67,14835,255,240.87
2024-04-08-15:00:31,67,14516,255,241.43
2024-04-08-15:00:34,67,14361,255,238.77
2024-04-08-15:00:36,67,14835,255,237.8
2024-04-08-15:00:38,63,15000,255,67.41
2024-04-08-15:00:40,61,14361,255,63.71
2024-04-08-15:00:42,58,14835,255,14.27
2024-04-08-15:00:44,57,14673,255,14.27
2024-04-08-15:00:46,55,14835,255,14.18
2024-04-08-15:00:48,54,14516,255,13.2
2024-04-08-15:00:50,53,14673,255,15.54
2024-04-08-15:00:52,52,14361,255,13.1
2024-04-08-15:00:54,50,14835,255,12.9
2024-04-08-15:00:56,49,14835,255,12.71
2024-04-08-15:00:59,48,14673,255,12.71
2024-04-08-15:01:01,47,15000,255,12.61
2024-04-08-15:01:03,47,14835,255,12.32
2024-04-08-15:01:05,46,14673,255,12.22
2024-04-08-15:01:07,45,14835,255,12.41
2024-04-08-15:01:09,44,14835,255,12.22
2024-04-08-15:01:11,44,14516,255,12.02
2024-04-08-15:01:13,43,15000,255,13.3
2024-04-08-15:01:15,42,14361,255,11.83
2024-04-08-15:01:17,42,14516,255,11.63
2024-04-08-15:01:19,41,14516,255,11.73
2024-04-08-15:01:21,41,14673,255,11.63
2024-04-08-15:01:24,40,14835,255,11.83
2024-04-08-15:01:26,39,14673,255,11.53
2024-04-08-15:01:28,39,14516,255,11.63
2024-04-08-15:01:30,39,14516,255,11.34
2024-04-08-15:01:32,38,15000,255,11.63
2024-04-08-15:01:34,38,15000,255,11.44
2024-04-08-15:01:36,38,14673,255,11.24
2024-04-08-15:01:38,37,14673,255,11.14
2024-04-08-15:01:40,37,14673,255,11.14
2024-04-08-15:01:42,37,14673,255,11.44
2024-04-08-15:01:44,36,14361,255,10.95
2024-04-08-15:01:46,36,14516,255,11.05
2024-04-08-15:01:49,36,14516,255,11.34
2024-04-08-15:01:51,35,14835,255,11.05
2024-04-08-15:01:53,35,14673,255,11.05
2024-04-08-15:01:55,35,14673,255,11.14
2024-04-08-15:01:57,35,14516,255,11.14
2024-04-08-15:01:59,34,14673,255,11.14
2024-04-08-15:02:01,34,14835,255,10.85
2024-04-08-15:02:03,34,14835,255,11.24
2024-04-08-15:02:05,34,14835,255,11.05
2024-04-08-15:02:07,34,14835,255,11.05
2024-04-08-15:02:09,34,14673,255,10.75
2024-04-08-15:02:11,33,14835,255,11.05
2024-04-08-15:02:14,33,14361,255,10.75
2024-04-08-15:02:16,33,14835,255,10.75
2024-04-08-15:02:18,33,14673,255,10.65
2024-04-08-15:02:20,33,14673,255,10.85
2024-04-08-15:02:22,33,14361,255,10.56
2024-04-08-15:02:24,33,14516,255,10.56
2024-04-08-15:02:26,32,14361,255,10.65
2024-04-08-15:02:28,32,14835,255,10.65
2024-04-08-15:02:30,32,14835,255,10.36
2024-04-08-15:02:32,32,14835,255,10.56
2024-04-08-15:02:34,32,14516,255,10.46
2024-04-08-15:02:36,32,14361,255,10.65
2024-04-08-15:02:39,32,14673,255,10.36
2024-04-08-15:02:41,32,14835,255,10.65
2024-04-08-15:02:43,32,14673,255,10.95
2024-04-08-15:02:45,32,14835,255,10.36
2024-04-08-15:02:47,31,15000,255,10.46
2024-04-08-15:02:49,31,14835,255,10.36
2024-04-08-15:02:51,31,14516,255,10.65
2024-04-08-15:02:53,31,14210,255,10.36
2024-04-08-15:02:55,31,14361,255,10.36
2024-04-08-15:02:57,31,14516,255,10.65
2024-04-08-15:02:59,31,14835,255,10.85
2024-04-08-15:03:01,31,14835,255,10.46
2024-04-08-15:03:04,31,14516,255,10.46
2024-04-08-15:03:06,31,14516,255,10.16
2024-04-08-15:03:08,31,14673,255,10.16
2024-04-08-15:03:10,31,14835,255,10.46
2024-04-08-15:03:12,31,9574,80,10.26
